,advisor,author,date_issued,date_created,abstract,subject,title,type
245,"Jiménez Jaimes, Félix Ovidio","Cruz Guillén, Jennifer Stephany De la",2017-07-13,2017,"Existe debate respecto al impacto del desarrollo financiero en el crecimiento económico, pues si bien la literatura teórica enfatiza la función que cumplen los sistemas financieros de facilitar la asignación de recursos en un contexto incierto, la literatura empírica encuentra resultados diversos. En este sentido, el objetivo principal de la tesis es profundizar el análisis del papel de los sistemas financieros en el crecimiento económico, recurriendo como base al trabajo realizado por Beck et al. (2000). En primer lugar, se replica su estudio, posteriormente se amplía su muestra de países (de 77 a 99) y el periodo de análisis (de 1961-1995 a 1961-2010) para validar la robustez de los resultados y, finalmente, se evalúa si el desarrollo financiero presenta un efecto diferenciado en el crecimiento económico según el nivel de desarrollo económico alcanzado por cada país, la región a la que pertenece, su nivel de profundización financiera, su nivel educativo y su tasa de inflación promedio. Así, realizando un análisis de datos de panel y utilizando como método de estimación el Método Generalizado de Momentos, se llega a tres conclusiones: el resultado obtenido por Beck et al. (2000) es sensible a la muestra, específicamente cuando se incluye en el análisis periodos de crisis financieras, procesos de liberalización financiera e inestabilidad macroeconómica; segundo, el nivel de desarrollo económico del país juega un rol importante en el impacto del desarrollo financiero en el crecimiento económico, pues los países de altos ingresos son los que más se benefician del desarrollo financiero; finalmente, el nivel educativo, el grado de profundización financiera y la tasa de inflación promedio del país influyen en el impacto del desarrollo financiero en el crecimiento económico según el nivel de desarrollo económico alcanzado por las economías.","Instituciones financieras--Desarrollo económico
Crecimiento económico--Modelos econométricos
Desarrollo económico--Modelos econométricos
Finanzas--Países en desarrollo",Análisis del papel del desarrollo financiero en el crecimiento económico,https://purl.org/pe-repo/renati/type#tesis
246,"Rodríguez González, José Santos","Sánchez Angulo, Thyara Giajaira",2017-06-23,2017,"El presente estudio tiene como objetivo principal estimar el impacto del uso de las laptops xo del programa ?Una laptop por niño? sobre el rendimiento académico de los estudiantes del segundo grado de primaria de las escuelas públicas del Perú para el año 2015. Se elaboró el marco teórico basado en las teorías del aprendizaje, de las cuales se identificaron cuatro mecanismos por medio de los cuales las TIC podrían contribuir al aprendizaje. Para el propósito de la presente investigación, se empleó el método de emparejamiento o propensity score matching para determinar el impacto del uso de las laptops xo y, adicionalmente, un modelo de regresión lineal (MCO) para evaluar el efecto de las horas de uso promedio de las laptops xo que realizan los estudiantes a la semana. Se utilizó los datos de la Encuesta Nacional a Instituciones Educativas (ENEDU) y la Evaluación Censal de Estudiantes (ECE) ambas del año 2015. Los resultados obtenidos no son estadísticamente significativos, por lo cual no se puede concluir con certeza que el uso de las laptops xo tenga impacto sobre el rendimiento académico de los estudiantes del segundo grado de primaria de las escuelas públicas del país.","Tecnología educativa--Perú
Estudiantes--Rendimiento académico--Perú
Educación--Efecto de las innovaciones tecnológicas--Perú
Educación primaria--Perú","Impacto del uso de las tecnologías de la información y la comunicación sobre el rendimiento escolar de los estudiantes del 2° grado de primaria de las escuelas públicas del Perú: Programa ""Una laptop por niño""",https://purl.org/pe-repo/renati/type#tesis
247,"Contreras Carranza, Carlos","Frías Tapia, Mónica",2017-06-10,2016,"El presente trabajo se enfocará en el desarrollo de la Política de Transporte Terrestre en el Perú entre los años de 1890 y 1945, específicamente la sustitución que se originó entre el sistema ferroviario y el automotor. Resulta importante estudiar el impacto de la inversión pública en infraestructuras productivas como construcción de carreteras en el crecimiento económico porque a pesar de que dicho proceso se inició hace ya más de un siglo en el Perú, aún en pleno siglo XXI adolecemos de vías de comunicación que conecten las pueblos del interior de nuestro país para facilitar el desarrollo de los mercados y la salida de los productos, lo que ha venido trayendo atraso económico en muchas ciudades de la sierra y selva. El crecimiento económico podrá darse en la medida que la inversión productiva venga acompañada de políticas sociales apropiadas que mejoren los indicadores de educación y salud, lo que permitiría una sólida recuperación de los niveles de vida de la población. De ahí la importancia en la construcción y el mejoramiento de las vías de comunicación porque estas no sólo permiten el traslado de productos si no que permiten la integración social y política entre los pueblos. El desarrollo de la infraestructura vial permite entonces una mayor movilidad social, acceso a mercados, integración política, mejora del nivel de competitividad, reducción de costos de las empresas; por ello el interés en el tema.","Transporte y Estado--Perú--1890-1945
Ferrocarriles y Estado--Perú--1980-1945
Carreteras--Perú--Historia--1890-1945
Infraestructura (Transporte)--Perú--1890-1945",La economía de transporte terrestre en el Perú : la Sustitución de las Ferrovías por las Autovías 1890-1945,https://purl.org/pe-repo/renati/type#tesis
248,"García Núñez, Luis Javier","Cruzado de la Vega, Viviana Natali",2017-05-09,2017,"Este estudio evalúa el impacto de un esquema de pago por desempeño a través de Convenios de Apoyo Presupuestario (CAP), entre el Gobierno Nacional de Perú con instancias subnacionales, para mejorar el estado nutricional infantil. Estos convenios se suscribieron con las regiones con mayores tasas de desnutrición crónica infantil, con el fin de transferirles recursos adicionales condicionados al cumplimiento de compromisos de gestión y metas en servicios de salud.A partir de los datos de la Encuesta Demográfica y de Salud Familiar de 2008 a 2014, se estima el impacto de dicho esquema de incentivos sobre indicadores de cobertura de servicios de cuidado infantil (vacunación, controles de crecimiento y desarrollo infantil, suplemento de hierro) y del estado nutricional del niño (desnutrición, anemia, diarrea, infecciones respiratorias), mediante la metodología de diferencias en diferencias combinada con técnicas de emparejamiento para la selección de los grupos de tratamiento y control bajo tres escenarios distintos, con el fin de probar la robustez de los resultados obtenidos. El documento, además, profundiza en las posibles causas de los resultados encontrados y brinda recomendaciones para mejorar el diseño de intervenciones que utilizan un mecanismo de incentivos similar. Los resultados muestran un impacto modesto en el incremento de vacunas durante los primeros años que duró el mecanismo, que podría haber impulsado una reduccion en la incidencia de EDA. Sin embargo, no se sostiene luego del cierre de los CAP. Asimismo, la falta de impactos adicionales atribuibles a los CAP en la cobertura de las prestaciones de controles de crecimiento y entrega de suplementos de hierro puede deberse a que el nivel de la meta fijada para cada indicador no lograba maximizar el esfuerzo de las entidades prestadoras de salud, o a que, a diferencia de las vacunas, donde la cadena de producción vinculada a la oferta resulta crítica para aumentar la cobertura, en las atenciones donde se controla el crecimiento y desarrollo del niño, y donde se entregan los suplementos de hierro, se requiere una mejor interacción entre el personal de salud y el paciente para aumentar la demanda del servicio y, por tanto, su cobertura. Sin embargo, estos aspectos de demanda no fueron recogidos en el esquema de metas establecidos por los CAP.","Nutrición infantil--Perú--Servicio de salud
Salud pública--Perú--Cooperación internacional
Programas sociales--Perú--Evaluación
Programas sociales--Perú--Aspectos económicos",Evaluación de impacto de un sistema de pagos por desempeño para mejorar la salud infantil : los convenios de apoyo presupuestario del programa articulado nutricional en Perú,
249,"Beteta Obreros, Edmundo Pablo","Iturrino Vilchez, Fiorella",2017-05-04,2017,"La presente investigación tiene como objetivo responder la siguiente pregunta, ¿Cuál es el impacto del acceso a los servicios de salud sobre la incidencia de mortalidad materna? La hipótesis propuesta es que las mujeres embarazadas que poseen un menor acceso al sistema de salud presentan mayores tasas de mortalidad materna, con respecto a aquellas que tienen un mayor acceso. El estudio que se realizará será útil para llegar a reconocer que si bien existen factores biológicos que desencadenan las muertes maternas -este punto se verá más adelante, también se darán otros factores sociales, económicos, demográficos, de oferta -como el nivel de acceso a los servicios de salud-, entre otros, que podrán tener impacto sobre la mortalidad materna. Por lo cual, el presente documento brindará una contribución a la toma de decisiones en términos de la mejora de la salud materna.","Mortalidad materna--Perú
Servicios de salud--Accesibilidad--Perú
Mujeres--Atención médica--Perú",Impacto del acceso a los Servicios de Salud sobre la incidencia de mortalidad materna,https://purl.org/pe-repo/renati/type#tesis
250,"Tovar Rodríguez, Patricia","Urcia Erazo, María Cecilia",2017-04-26,2016,"La investigación trata de explicar el comportamiento de las importaciones peruanas desde Asia, las cuales han presentado una dinámica interesante en los últimos quince años. A través del análisis econométrico en diferentes especificaciones del Modelo de Gravedad, se comprobó que el tipo de cambio real bilateral, los aranceles de Nación Más Favorecida y los costos del comercio internacional fueron los determinantes más importantes para explicar el flujo de importaciones totales desde 22 países de Asia en el periodo 2000 ? 2014. A nivel desagregado, los ingresos del Perú afectaron más a la importación de bienes intermedios y de capital, el tipo de cambio real bilateral tuvo un impacto positivo y significativo para la importación de bienes de capital, y la Crisis Financiera de EE.UU. afectó más a la importación de bienes intermedios. Destaca además el impacto significativo de los costos del  comercio sobre los tres tipos de importación. El vínculo importador ? proveedor asiático se puede seguir reforzando con mejoras en el desempeño logístico del Perú para facilitar el comercio y mayores vínculos con proveedores asiáticos de interés económico para diversificar el intercambio comercial. Se espera fomentar la investigación en las relaciones comerciales con el continente asiático, en especial enfocar a las importaciones no como una amenaza a la economía nacional sino como una oportunidad de generar mayor dinamismo en el intercambio comercial.","Importaciones--Perú--Modelos econométricos
Comercio internacional--Perú--2000-2014
Comercio internacional--Asia--2000-2014",Aplicación del modelo de gravedad para el análisis de los determinantes del flujo de importaciones peruanas de origen asiático en el período 2000-2014,https://purl.org/pe-repo/renati/type#tesis
251,"Beteta Obreros, Edmundo Pablo","Rios Silva, Rafael de los",2017-04-26,2017,"El principal objetivo de la investigación es, a través del uso de modelos econométricos de datos de panel, encontrar la relación entre la recaudación de impuestos y diversas variables que pueden tener un efecto sobre esta a nivel subnacional. Dado que existe una importante heterogeneidad entre las municipalidades de nuestro país, se plantea una metodología de estratificación por medio de clústeres para segmentar la muestra y realizar el análisis sobre grupos con elementos más homogéneos. Adicionalmente, un objetivo secundario del estudio es analizar si los altos niveles de transferencias tienen un efecto de pereza fiscal en los municipios debido a que estos pueden perder incentivos para aumentar la recaudación de impuestos ante altos niveles de transferencias, para lo cual se plantea el análisis sobre dos tipos de transferencias, las que dependen de recursos naturales y las que no.","Municipios--Recaudación de impuestos--Perú
Municipios--Ingresos--Perú
Gobiernos locales--Impuestos--Perú",Determinantes de la recaudación de los impuestos municipales,https://purl.org/pe-repo/renati/type#tesis
252,,"Gonzáles Tanaka, José Carlos",2017-04-26,2017,"Following Xu and Perron (2014), this paper uses daily data for six Forex Latin American markets (Argentina, Brazil, Chile, Colombia, Mexico and Peru). Four models of the family of the Random Level Shift (RLS) model are estimated: a basic model where probabilities of level shift are driven by a Bernouilli variable but probability is constant; a model where varying probabilities are allowed and introduced via past extreme returns; a model with mean reversion mechanism; and a model incorporating last two features. Our results prove three striking features: rst, the four RLS models t well the data, with almost all the estimates highly signi cant; second, the long memory property disappears completely from the ACF, including the GARCH e¤ects; and third, the forecasting performance is much better for the RLS models against an overall of four competitor models: GARCH, FIGARCH and two ARFIMA models.
Siguiendo el trabajo de Xu y Perron (2014), este documento utiliza datos diarios de volatilidades de retornos cambiarios para seis mercados de América Latina (Argentina, Brazil, Chile, Colombia, Mexico and Peru). Cuatro modelos del tipo Random Level Shifts (RLS) son estimados: un modelo básico donde las probabilidades de cambios de nivel son gobernadas por una variable del tipo Bernouilli pero dicha probabilidad es constante; un modelo donde las probabilidades son cambiantes en el tiempo y dependen de los retornos bursátiles extremos negativos del periodo anterior; un modelo con reversión a la media; y un modelo que incorpora los dos aspectos mencionados anteriormente. Los resultados sugieren tres importantes aspectos: el primero es que los cuatro modelos RLS ajustan bien los datos con prácticamente todos los estimados altamente significativos; segundo, la característica de larga memoria desaparece completamente de la ACF, incluyendo los efectos GARCH; y, tercero, la performance de los cuatro modelos en términos de predicción es buena contra diferentes modelos rivales como los modelos GARCH, FIGARCH, y dos modelos ARFIMA.","Acciones (Bolsa)--Pronóstico
Acciones (Bolsa)--Modelos econométricos
Bolsa de valores--Medición
América Latina--Bolsa de valores",An empirical applicatin of a random level shift model with time-varying probability and mean reversion to the volatility of Latin-America forex market returns,https://purl.org/pe-repo/renati/type#tesis
253,"García Núñez, Luis Javier","Ávila Cueva, Claudia",2017-04-26,2017,"El objetivo del presente estudio es medir el impacto de las vías asfaltadas en los ingresos no agropecuarios de los hogares rurales. Ello con el fin de identificar si el acceso a vías más seguras dinamiza actividades distintas a los ingresos agropecuarios independientes (por agricultura y ganadería familiar), ya sean estas actividades no agropecuarias del tipo dependiente o por cuenta propia. En otras palabras, identificar si un servicio público (del nivel de infraestructura económica) genera mejora los ingresos a los hogares rurales, de modo que les permita enfrentar los riesgos sociales y climáticos a los que están expuestos.","Ingreso familiar--Perú--Zonas rurales
Infraestructura (Transporte)--Perú--Zona rurales
Crecimiento económico--Perú--Zonas rurales
Desarrollo rural--Perú",Impacto de las vías asfaltadas en los ingresos laborales no agropecuarios de los hogares en el área rural del Perú,https://purl.org/pe-repo/renati/type#tesis
254,,"Díaz Vásquez, Ramón Abraham",2017-04-12,2016,"El informe profesional que se presenta contiene dos capítulos, cada uno corresponde a un documento elaborado durante el periodo que el autor se desempeñó como investigador auxiliar en el Instituto de Estudios Peruanos entre los años 2003 y 2012. Durante estos años el autor trabajo en diversos proyectos de investigación liderados por investigadoras e investigadores de diferentes disciplinas de las ciencias sociales, pero de manera más continua con economistas, y también en proyectos de investigación individuales. El primer capítulo corresponde al documento ?Análisis económico de la ingesta de alimentos en el Perú?, financiado por el Consorcio de Investigación Económica y Social (CIES) en el concurso anual del año 2009, del cual resultó ganador. El segundo corresponde al documento ?Indicadores y visiones alternativas de seguridad alimentaria en el Perú?, elaborado en el marco del concurso de jóvenes investigadores para el Seminario Permanente de Investigación Agraria (SEPIA) del año 2011.","Seguridad alimentaria--Perú
Alimentos--Consumo--Perú
Alimentos--Abastecimiento--Perú",Ingesta de alimentos y seguridad alimentaria en el Perú,
255,"Rodríguez Briones, Gabriel Hende","Ojeda Cunya, Junior Alex",2017-04-11,2016,"La literatura econométrica y nanciera ha mostrado que la volatilidad de los retornos bursátiles y cambiarios presenta un comportamiento de larga memoria. Otro hecho mostrado en la literatura es que este comportamiento de larga memoria puede ser espúreo y que la volatilidad sigue un proceso de corta memoria con cambios de nivel aleatorios. En este trabajo se sigue el enfoque planteado por Lu y Perron (2010) y Li y Perron (2013), estimando el modelo de cambios de nivel aleatorios al logaritmo de los retornos absolutos del Índice General de la Bolsa de Valores de Lima (IGBVL) y del Tipo de cambio bancario compra. El modelo consiste en la suma de dos componentes: un proceso de corta memoria y un componente de cambios de nivel aleatorios. El primer componente se ha modelado como un proceso autorregresivo de orden 1 (AR(1)). El componente de cambios de nivel se especi ca como la suma acumulada de un proceso que es cero con probabilidad 1 y es una variable aleatoria con probabilidad . Los datos utilizados para realizar las estimaciones comprenden, para el IGBVL, desde el 03/01/1990 hasta el 13/06/2013 y para el tipo de cambio desde 03/01/1997 hasta el 24/06/2013. Los resultados que muestran las estimaciones son concluyentes como los obtenidos en Lu y Perron (2010). La primera conclusión que puede mostrarse es que la probabilidad de cambio de nivel es pequeña pero signi cativa, indicando que estos cambios de nivel son responsables del comportamiento de larga memoria observado en las series de volatilidad. Una vez calculada la probabilidad de cambio de nivel para cada serie, es posible calcular el número total de quiebres. Asimismo, es posible calcular el componente de cambios de nivel y sustraerlo de la serie de volatilidad. Al calcular la función de autocorrelación de esta nueva serie residual veremos que ya no existe presencia del comportamiento de larga memoria. Otros resultados importantes que se observan son los efectos que tienen los cambios de nivel en los modelos clásicos de larga memoria como GARCH y ARFIMA. La esti- mación de los modelos autorregresivos con heteroscedasticidad condicional descontando los cambios de nivel muestran que estos componentes son introducidos arti cialmente por los cambios de nivel. Además, la estimación de modelos fraccionales a las series residuales de volatilidad menos el componente de cambios de nivel muestra que el parámetro fraccional es menor o muy cercano a cero, lo que indica que no existe un comportamiento de larga memoria. Por otra parte, el desempeño del modelo RLS en términos de predicción es mejor que los modelos ARFIMA (p,d,q) de acuerdo al Model Con dence Set (MCS) planteado por Hansen et al. (2011).","Acciones (Bolsa)--Modelos econométricos
Acciones (Bolsa)--Precio
Acciones (Bolsa)--Pronóstico
Tipo de cambio--Modelos econométricos
Tipo de cambio--Pronóstico
Perú--Bolsa de valores",An application of a random level shifts model to the volatility of peruvian stock and exchange rate reterns,https://purl.org/pe-repo/renati/type#tesis
256,"Rojas, Jorge","Barrientos Chávez, María Alejandra",2017-03-15,2016,"Este trabajo de investigación tiene como objetivo principal analizar si la existencia de un incremento en la productividad de empresas multinacionales depende del sector destino de los flujos de la IED, bajo la hipótesis de que una empresa orientada hacia el comercio exterior y con una mayor intensidad tecnológica son las características necesarias para que una empresa obtenga mayores incrementos de productividad.  La inversión extranjera directa (IED) ha aumentado sosteniblemente en los últimos años, esta es una tendencia que se observa en diversos países emergentes. Siendo América Latina y el Caribe el receptor principal de los flujos de capital extranjero.  Los beneficios obtenidos de un mayor flujo de IED pueden tener un gran impacto sobre el desarrollo económico del país receptor. Adicional al financiamiento de capital directo que provee y el impacto que tiene sobre los flujos comerciales, la IED puede ser un canal clave para la transferencia de tecnología, conocimientos de nuevas técnicas y habilidades, especialmente desde países industrializados a países en desarrollo.  Como señala la UNCTAD, hay distintas maneras de cuantificar el impacto de las inversiones sobre la economía receptora: analizar el impacto sobre el Producto Bruto Interno, sobre su aporte en la acumulación de capital del país, número de empleos creados, eslabonamientos en las regiones, externalidades positivas, incrementos en la productividad, entre otros.  El objetivo de la presente tesis es analizar el impacto de la IED en el desempeño de las empresas receptoras (a través de la productividad de éstas), tomando en cuenta la diferencia tecnológica y orientación comercial (pro-exportadora u orientada al mercado interno) que existe en los distintos sectores económicos. En breve, el tema principal de la presente tesis es ""La Inversión Extranjera Directa en América Latina y El Caribe y su impacto en la productividad de las empresas multinacionales"".  La relevancia de este trabajo de investigación radica en la importancia de la IED en el crecimiento económico de largo plazo, debido a que la IED es una inversión de largo plazo, tiene una gran influencia en la estructura productiva de la economía receptora; si existe un impacto diferencial por sector, sería necesario fomentar la IED en sectores que incrementen en mayor medida su productividad sectorial pues a largo plazo serán esos sectores los que generarán mayores spillovers sobre empresas locales.","Inversiones estadounidenses--América Latina--Indicadores de impacto
Inversiones extranjeras--América Latina
Inversiones estadounidenses--Caribe, Región
Inversiones extranjeras--Caribe, Región",Inversión extranjera directa de Estados Unidos en América Latina y el Caribe : impacto de la IED en la productividad multinacionales,https://purl.org/pe-repo/renati/type#tesis
257,,"Velazco Portocarrero, Tatiana Mariela",2017-03-15,2016,"El presente informe profesional tiene por objetivo presentar la gestación, desarrollo y puesta en operación del instrumento del Observatorio Socioeconómico Laboral (OSEL) en el Ministerio de Trabajo y Promoción del Empleo que se inició en el año 2002 y ya cuenta con 14 años de implementación. El énfasis estará puesto en la experiencia desarrollada en capital del país en el período 2005 al primer semestre de 2010, con los OSEL locales de Lima Norte y Lima Sur, que se implementaron en el marco de asociaciones público-privadas.","Perú. Ministerio de Trabajo y Promoción del Empleo
Empleos--Perú--Lima Metropolitana--Estadística
Sistemas de información--Perú--Administración pública
Información pública--Perú--Administración","Logros y perspectivas del sector trabajo en lo referente al instrumento observatorio socioeconómico laboral : el caso de Lima Metropolitana, 2005-2010",
258,"León Castillo, Janina Virginia","Espezúa Berríos, Lucía del Rosario",2017-03-15,2016,"El caso del Perú no suficiente evidencia que explore la relación del trabajo materno con la desnutrición en el país, lo que constituye un vacío importante en la investigación para desarrollar políticas adecuadas contra la desnutrición. Ante ello, la presente tesis tiene como objetivo llenar tal vacío abordando las siguientes cuestiones: i) ¿Cuál es la relación entre el trabajo materno y los indicadores de nutrición? y ii) ¿Existe heterogeneidad de los efectos sobre la desnutrición crónica infantil de acuerdo a la ocupación de la madre?","Madres trabajadoras--Perú
Desnutrición infantil--Perú
Mujeres--Trabajo--Perú
Mujeres--Empleo--Perú",Desnutrición crónica infantil y empleo materno : ¿cómo afecta que la madre trabaje sobre la salud de los niños menores a cinco años?,https://purl.org/pe-repo/renati/type#tesis
259,"Francke Ballve, Pedro Andrés Toribio","López Yucra, Karla Gabriela",2017-03-14,2016,"El problema económico al cual se pretende atender en  el presente trabajo de investigación es la interrelación entre los fenómenos de  trabajo infantil y deserción escolar. El grupo a ser estudiado, es decir, el grupo  objetivo son los menores de 12 a 17 años en el Perú, puesto que es en este rango  de edades en el cual las cifras de ambos fenómenos interrelacionados se  incrementan en nuestro país.  La motivación de esta investigación radica en poder aportar evidencia  empírica a nivel macro que ayude a identificar y entender las causas del problema  de trabajo infantil y su interacción con la deserción escolar. De esta forma, se  espera que la investigación ayude en la formulación de programas y políticas  públicas destinadas a la mejora de la calidad de vida de los niños y adolescentes.","Trabajo infantil--Aspectos económicos--Perú
Niños--Trabajo--Condiciones sociales--Perú
Deserción escolar--Aspectos económicos--Perú",Determinantes del trabajo infantil y la deserción escolar en menores de 12 a 17 años en el Perú para los años 2006 y 2014,https://purl.org/pe-repo/renati/type#tesis
260,"Aguilar Andía, Gladys Giovanna","Talledo Carrasco, Manuel Emilio",2017-03-14,2016,"Este trabajo pretende contribuir a la literatura sobre inclusión financiera, mediante un análisis de la dimensión de acceso, a través de un indicador agregado de productos de ahorro y crédito. Este concepto también incluye las dimensiones de uso, calidad y bienestar, pero no serán incluidas debido a las limitaciones de los datos. El objetivo fundamental es identificar los principales determinantes de la inclusión financiera en el Perú, a través del análisis de cuatro regiones que concentran más de un tercio de la población peruana3. Para ello, se llevará a cabo una estimación de corte transversal con la información disponible de la Encuesta Piloto de Acceso y Uso de Servicios Financieros del año 2012, teniendo como unidad de análisis a los individuos entrevistados y calculando un índice que se explica detalladamente en la sección metodológica.","Ahorro--Perú
Crédito--Perú
Indicadores de impacto--Perú
Indicadores económicos--Perú
Instituciones financieras--Perú--Desarrollo económico",Incluyendo a más peruanos : análisis de un indicador agregado de inclusión financiera,https://purl.org/pe-repo/renati/type#tesis
261,"Gamero Requena, Julio Hernán","Alvarado Saona, Anita Milagros",2017-03-11,2016,"El presente informe tiene como objetivo realizar una breve revisión de la experiencia del Ministerio de Desarrollo e Inclusión Social (MIDIS) creado en octubre del 2011 por el Gobierno del Presidente Ollanta Humala, haciendo énfasis en el proceso de rediseño y reorganización del Programa de Transferencias Monetarias Condicionadas - JUNTOS, a la luz de los conceptos de Gerencia Social, como son la eficacia, eficiencia y sostenibilidad.","Perú. Ministerio de Desarrolllo e Inclusión Social
Programas sociales--Organización--Perú
Programas sociales--Reforma
Familia--Asistencia social--Perú
Perú--Política social","JUNTOS : el programa de apoyo directo a los más pobres, su adscripción al Ministerio de Desarrollo e Inclusión Social y sus principales retos para alcanzar una Gerencia Social Efectiva",
262,"García Núñez, Luis Javier","Sánchez Romero, Sara Milagros",2017-03-09,2015,"El objetivo del presente trabajo es evaluar el efecto que tienen las diferencias de calidad educativa sobre los ingresos que reciben las personas una vez que son parte del mercado laboral. Se consideran diferencias generacionales en la educación recibida, debido a las grandes diferencias en el gasto público escolar a lo largo del tiempo.","Educación y empleo--Perú--Aspectos económicos
Desarrollo económico--Efecto de la educación
Familia--Ingresos
Cambio social--Perú",Heterogeneidad en el impacto de la educación sobre los ingresos,https://purl.org/pe-repo/renati/type#tesis
263,"Moloche Velarde, Guillermo","Gutiérrez Escudero, Jonathan José",2017-03-09,2016,"Desde la entrada en vigencia de las Administradoras de Fondos de Pensiones (AFP) en el Perú sus decisiones de inversión estuvieron restringidas por límites cuantitativos impuestos por la regulación vigente en cada periodo. En este estudio, desde un enfoque estrictamente financiero, se cuantifica los costos implícitos de dicha regulación, especialmente aquella que restringe la asignación de recursos hacia activos del exterior. Para ello, se emplea la metodología desarrollada por Tu y Zhou (2011), la cual combina dos estrategias de portafolio, a diferencia de la mayoría de estudios previos relacionados basados en la teoría clásica. Se obtiene, para el periodo 1997-2014, que el valor cuota promedio obtenido por las AFP fue 3% menor respecto a un escenario de referencia sin límites de inversión. Asimismo, se analizan otros factores que influyen en las decisiones de inversión de las AFP como lo son el horizonte temporal y la riqueza humana; así como ciertas condiciones bajo las cuales un inversionista de largo plazo termina escogiendo el mismo portafolio óptimo que un inversionista de corto plazo.","Sistema privado de pensiones--Inversiones--Perú
Inversiones--Modelos matemáticos
Inversiones--Modelos estadísticos
Inversiones--Análisis
Inversiones--Costos",Cuantificación de los costos de los límites de inversión con incertidumbre de parámetros para el sistema privado de pensiones peruano,https://purl.org/pe-repo/renati/type#tesis
264,,"Ávila Palomino, Gustavo Martin",2017-03-09,2016,"A inicios de la década de los noventa, el estado peruano impulsó una serie de medidas en materia económica con el objetivo de atraer inversión extranjera. Para el sector minero, estas medidas estuvieron enmarcadas en una serie de incentivos, en el marco de los Contratos de Garantías y Promoción de la Inversión, en donde se establecía estabilidad tributaria y le permitía acogerse a beneficios como la reinversión de utilidades y la doble depreciación.","Industria minera--Reforma tributaria--Perú--2006-2016
Industria minera--Política fiscal--Perú
Industria minera--Renta--Perú
Industria minera--Recaudación de impuestos--Perú",Aporte tributario del sector minero en el Perú : intentos del Estado Peruano por capturar mayores recursos,
265,"Rodríguez, Gabriel","Tramontana Tocto, Roxana",2017-03-04,2016,"La evidencia empírica indica que la volatilidad de la serie de los retornos bursátiles tiene larga memoria. Sin embargo, se ha demostrado que los procesos de corta memoria contaminados con cambios de nivel aleatorios pueden ser confundidos con larga memoria. Frecuentemente esta característica es conocida como larga memoria espúrea. Este trabajo presenta un estudio empírico del modelo de cambios de nivel aleatorios, Random Level Shift (RLS) usando la aproximación de Lu y Perron (2010) y Li y Perron (2013) para la volatilidad de los retornos bursátiles diarios para cinco países latinoamericanos. El modelo RLS consiste en la suma de un componente de corta memoria y un componente de cambio de nivel, donde este último es gobernado por un proceso Bernoulli con probabilidad de cambio a. Los resultados obtenidos sugieren que los cambios de nivel de la volatilidad de los retornos diarios son poco frecuentes pero una vez que se toman en cuenta, la característica de larga memoria y los efectos GARCH desaparecen. También se realizó un ejercicio de predicción fuera de la muestra.","Bolsa de valores--América Latina
Bolsa de valores--Medición
Bolsa de valores--Tasa de rendimiento",Aplicación de un modelo de corta memoria con cambios de nivel aleatorios a la volatilidad del mercado bursátil de Latinoamérica,https://purl.org/pe-repo/renati/type#tesis
266,"Rodríguez, Gabriel","Ventura Neyra, Edgar",2017-03-04,2016,"La presente investigación analiza los determinantes de la frecuencia de las intervenciones de tipo de cambio por parte del Banco Central de Reserva del Perú (BCRP). Esto a partir de información semanal entre enero de 2001 y diciembre de 2010, usando modelos de conteo como Poisson, Negativo Binomial y Zero Inflated. Los resultados muestran que las desviaciones del logaritmo del tipo de cambio respecto de su tendencia de largo plazo, las intervenciones del periodo anterior (persistencia), el riesgo país medido por el EMBIG, el spread entre las tasas de interés bancarias, y el interés entre las tasas de interés doméstica y foránea son importantes determinantes.","Banco Central de Reserva del Perú
Tipo de cambio--Péru--2001-2010
Tipo de cambio--Modelos estadísticos
Política monetaria--Péru",Explaining the determinants of the frequency rate interventions in Peru using count models,https://purl.org/pe-repo/renati/type#tesis
267,"Rodríguez Gonzalez, José Santos","Glave Barrantes, Cristina Roxana",2017-03-03,2016,"La presente investigación explorar el mecanismo a través del cual el empoderamiento crece en la mujer, con especial atención en el efecto del subsidio del programa Juntos. De esta manera, se tratará de identificar los factores que pueden influir sobre el empoderamiento dentro de un hogar biparental. Es importante identificar de que se trata el empoderamiento económico, como también resulta importante utilizar los modelos de negociación y cooperación de asignación de recursos dentro del hogar ya que es en estos donde los miembros más empoderados tendrán mayor poder de negociación para decidir. El aporte de esta investigación es el modelamiento del empoderamiento, con sus muchos factores, y, en particular, el rol de Juntos sobre este.","Mujeres--Empoderamiento--Perú
Mujeres--Condiciones económica--Perú
Mujeres y pobreza
Familias--Ingresos
Programas sociales--Perú","Cambios en el empoderamiento de la mujer : el caso de las beneficiarias del Programa Juntos en el Perú, 2014",https://purl.org/pe-repo/renati/type#tesis
